# TOTAL_GENES = 16263
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GO_ACTIVE_TRANSMEMBRANE_TRAN...        SET      33      0.14442     0.006499       0.1823      0.21413 GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
GO_ADENYLATE_CYCLASE_ACTIVAT...        SET       8     0.099064    0.0021967      0.35044      0.38871 GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GO_ATP_METABOLIC_PROCESS               SET      48     -0.05649   -0.0030646       0.1307       0.6672 GO_ATP_METABOLIC_PROCESS
GO_ATP_SYNTHESIS_COUPLED_ELE...        SET      23      -0.2021    -0.007595      0.19635      0.84831 GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT
GO_BEHAVIOR                            SET      83      0.17267     0.012304      0.10679      0.05295 GO_BEHAVIOR
GO_CALCIUM_ION_REGULATED_EXO...        SET      13     0.091192    0.0025773      0.31329       0.3855 GO_CALCIUM_ION_REGULATED_EXOCYTOSIS
GO_CARBOHYDRATE_BINDING                SET      38     -0.12099   -0.0058416      0.14732      0.79424 GO_CARBOHYDRATE_BINDING
GO_CARBOHYDRATE_BIOSYNTHETIC...        SET      38      0.10001    0.0048286       0.1462      0.24698 GO_CARBOHYDRATE_BIOSYNTHETIC_PROCESS
GO_CARBOHYDRATE_METABOLIC_PR...        SET      99      0.33339     0.025934     0.093875   0.00019214 GO_CARBOHYDRATE_METABOLIC_PROCESS
GO_CELLULAR_ION_HOMEOSTASIS            SET      79      0.35905     0.024965       0.1091   0.00050045 GO_CELLULAR_ION_HOMEOSTASIS
GO_CELLULAR_RESPIRATION                SET      48     -0.17964   -0.0097451      0.13537      0.90774 GO_CELLULAR_RESPIRATION
GO_CELLULAR_RESPONSE_TO_TOPO...        SET      46      0.35038     0.018609      0.15091     0.010129 GO_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN
GO_COATED_VESICLE                      SET      65      0.10421     0.006575      0.11841      0.18943 GO_COATED_VESICLE
