GENE             CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
SAMD11             1     859993     879961     13       8  1740000      0.20813      0.41756
NOC2L              1     879583     894679     19      13  1740000       0.9774      0.16419
KLHL17             1     895967     901099     19      13  1740000      0.40072      0.34431
PLEKHN1            1     901872     910488     15      11  1740000      0.29409      0.38434
PERM1              1     910579     917473      8       5  1740000      -1.1529      0.87553
HES4               1     934342     936608      2       1  1740000      0.95799      0.16903
ISG15              1     948847     949920      1       1  1740000     -0.39668       0.6542
AGRN               1     955503     991499     25      18  1740000       1.0851      0.13893
RNF223             1    1007126    1009687      1       1  1740000     -0.94786       0.8284
C1ORF159           1    1017198    1051736      3       2  1740000      0.20056      0.42052
TTLL10             1    1109286    1133315     15      11  1740000      0.42001      0.33724
TNFRSF18           1    1138888    1142163      5       3  1740000     -0.38878      0.65128
TNFRSF4            1    1146706    1149703      5       3  1740000     -0.38878      0.65128
SDF4               1    1152288    1167447      3       2  1740000      -1.2174      0.88828
B3GALT6            1    1167629    1170421      3       1  1740000       0.5751      0.28261
FAM132A            1    1177826    1182102      3       1  1740000       0.5751      0.28261
UBE2J2             1    1189292    1209234      2       1  1740000       1.7595     0.039249
SCNN1D             1    1215816    1227409     20      13  1740000    -0.025156      0.51003
ACAP3              1    1227764    1243304     21      14  1740000      -1.1048      0.86538
PUSL1              1    1243962    1247057      3       2  1740000      -1.4359      0.92449
CPSF3L             1    1246965    1260067     17      12  1740000      -2.3624      0.99092
CPTP               1    1260136    1264276     14      10  1740000       -2.078      0.98114
TAS1R3             1    1266726    1269844     15      10  1740000      -1.9193      0.97253
DVL1               1    1270658    1284509     16      11  1740000      -1.9331      0.97339
MXRA8              1    1288071    1297183      1       1  1740000    -0.085329        0.534
AURKAIP1           1    1309110    1310818      2       1  1740000      0.73261       0.2319
CCNL2              1    1321091    1334718      4       2  1740000       1.0012      0.15837
MRPL20             1    1337276    1342693      3       2  1740000      0.27235      0.39268
ANKRD65            1    1353800    1356824      3       2  1740000       1.0094       0.1564
TMEM88B            1    1361508    1363167      3       2  1740000       1.0094       0.1564
VWA1               1    1370903    1378262      2       1  1740000       1.9615     0.024909
ATAD3C             1    1378152    1405538      7       5  1740000       1.5369     0.062153
ATAD3B             1    1407139    1444852      8       5  1740000     -0.19838      0.57863
ATAD3A             1    1447523    1470067      4       2  1740000      0.91751      0.17944
TMEM240            1    1470158    1475740      4       2  1740000      0.91751      0.17944
SSU72              1    1477053    1510262      3       2  1740000       1.4095     0.079347
MIB2               1    1550795    1565990      9       6  1740000     -0.97092      0.83421
MMP23B             1    1567060    1570030      8       6  1740000      -1.6152      0.94687
CDK11B             1    1571100    1590473      6       4  1740000     -0.50876      0.69454
SLC35E2B           1    1591486    1624243      2       1  1740000      0.69293      0.24418
CDK11A             1    1633822    1655999      1       1  1740000      0.31969       0.3746
SLC35E2            1    1656277    1677438      3       2  1740000      0.14399      0.44275
NADK               1    1682671    1711508      5       3  1740000      0.71725      0.23661
GNB1               1    1716725    1822552      1       1  1740000       1.2702        0.102
CALML6             1    1846266    1848733      3       1  1740000      0.13853      0.44491
TMEM52             1    1849029    1850740      3       1  1740000      0.13853      0.44491
CFAP74             1    1853390    1935276     11       6  1740000       1.9566     0.025197
GABRD              1    1950768    1962192      1       1  1740000       1.1421       0.1267
PRKCZ              1    1981909    2116834      5       3  1740000      0.75025      0.22655
C1ORF86            1    2115899    2144159      2       1  1740000     -0.29351      0.61543
SKI                1    2160134    2241652      2       1  1740000      0.27481      0.39173
MORN1              1    2251719    2323190      8       5  1740000       0.6183      0.26819
RER1               1    2323214    2336883      4       2  1740000     -0.97873      0.83614
PEX10              1    2336241    2344010      3       2  1740000      -1.1562      0.87621
PLCH2              1    2407754    2436964      4       2  1740000      0.10718      0.45732
PANK4              1    2439975    2458061      3       2  1740000  -0.00091137      0.50036
HES5               1    2460184    2461684      1       1  1740000     -0.12768       0.5508
TNFRSF14           1    2487291    2495268      4       2  1740000     -0.65306      0.74314
FAM213B            1    2517899    2522908      7       4  1740000       1.1166      0.13208
MMEL1              1    2522078    2564499     14       7  1740000      0.26568      0.39524
ACTRT2             1    2938046    2939467      4       2  1740000      -1.0397      0.85075
PRDM16             1    2985565    3355185     16      10  1740000     -0.76998      0.77934
ARHGEF16           1    3371147    3397677      4       2  1740000     -0.29191      0.61482
MEGF6              1    3404506    3528059     21      13  1740000      -2.1057      0.98239
TPRG1L             1    3541556    3546695      5       3  1740000     -0.82291      0.79472
WRAP73             1    3547331    3566671      5       3  1740000     -0.82291      0.79472
TP73               1    3569129    3652765      1       1  1740000       1.4108      0.07915
CCDC27             1    3668965    3688209     14       9  1740000      0.68112       0.2479
SMIM1              1    3689352    3692546      9       6  1740000      0.98204      0.16304
LRRC47             1    3696784    3713068      3       2  1740000     -0.58744      0.72155
CEP104             1    3728645    3773797      8       5  1740000      0.18963       0.4248
DFFB               1    3773845    3801993     11       8  1740000     -0.35831      0.63995
